Month,County,Year ,Unemployment_Rate,State
June,Alameda County,2020,13.5,CA
June,Alpine County,2020,18.9,CA
June,Amador County,2020,12.7,CA
June,Butte County,2020,12.2,CA
June,Calaveras County,2020,11,CA
June,Colusa County,2020,18.4,CA
June,Contra Costa County,2020,13.4,CA
June,Del Norte County,2020,12.5,CA
June,El Dorado County,2020,12.8,CA
June,Fresno County,2020,14.5,CA
June,Glenn County,2020,12.8,CA
June,Humboldt County,2020,11.7,CA
June,Imperial County,2020,27.4,CA
June,Inyo County,2020,11,CA
June,Kern County,2020,17.5,CA
June,Kings County,2020,14.4,CA
June,Lake County,2020,14.2,CA
June,Lassen County,2020,9.4,CA
June,Los Angeles County,2020,19.6,CA
June,Los Angeles County,2020,19.4,CA
June,Madera County,2020,13.9,CA
June,Marin County,2020,10.1,CA
June,Mariposa County,2020,14.1,CA
June,Mendocino County,2020,12.4,CA
June,Merced County,2020,15.6,CA
June,Modoc County,2020,9.8,CA
June,Mono County,2020,24.7,CA
June,Monterey County,2020,14.4,CA
June,Napa County,2020,12.6,CA
June,Nevada County,2020,13.1,CA
June,Orange County,2020,13.6,CA
June,Placer County,2020,11.1,CA
June,Plumas County,2020,13.7,CA
June,Riverside County,2020,14.7,CA
June,Sacramento County,2020,13.6,CA
June,San Benito County,2020,13.7,CA
June,San Bernardino County,2020,13.8,CA
June,San Diego County,2020,13.8,CA
June,San Francisco County,2020,12.5,CA
June,San Joaquin County,2020,15.8,CA
June,San Luis Obispo County,2020,11.5,CA
June,San Mateo County,2020,10.8,CA
June,Santa Barbara County,2020,11.5,CA
June,Santa Clara County,2020,10.7,CA
June,Santa Cruz County,2020,13.1,CA
June,Shasta County,2020,11.5,CA
June,Sierra County,2020,11.3,CA
June,Siskiyou County,2020,12.4,CA
June,Solano County,2020,13.6,CA
June,Sonoma County,2020,11.6,CA
June,Stanislaus County,2020,15,CA
June,Sutter County,2020,15,CA
June,Tehama County,2020,11.8,CA
June,Trinity County,2020,9.6,CA
June,Tulare County,2020,17.1,CA
June,Tuolumne County,2020,14.3,CA
June,Ventura County,2020,12.6,CA
June,Yolo County,2020,10.5,CA
June,Yuba County,2020,14.3,CA
June,Anaheim-Santa Ana-Irvine MD,2020,13.6,CA
June,Bakersfield MSA,2020,17.5,CA
June,Chico MSA,2020,12.2,CA
June,El Centro MSA,2020,27.4,CA
June,Fresno MSA,2020,14.5,CA
June,Hanford-Corcoran MSA,2020,14.4,CA
June,Los Angeles-Long Beach-Glendale MD,2020,19.6,CA
June,Los Angeles-Long Beach-Glendale MD,2020,19.4,CA
June,Madera MSA,2020,13.9,CA
June,Merced MSA,2020,15.6,CA
June,Modesto MSA,2020,15,CA
June,Napa MSA,2020,12.6,CA
June,Oakland-Hayward-Berkeley MD,2020,13.5,CA
June,Oxnard-Thousand Oaks-Ventura MSA,2020,12.6,CA
June,Redding MSA,2020,11.5,CA
June,Riverside-San Bernardino-Ontario MSA,2020,14.3,CA
June,Sacramento--Roseville--Arden-Arcade MSA,2020,12.8,CA
June,Salinas MSA,2020,14.4,CA
June,San Diego-Carlsbad MSA,2020,13.8,CA
June,San Francisco-Redwood City-South San Francisco MD,2020,11.8,CA
June,San Jose-Sunnyvale-Santa Clara MSA,2020,10.8,CA
June,San Luis Obispo-Paso Robles-Arroyo Grande MSA,2020,11.5,CA
June,San Rafael MD,2020,10.1,CA
