Month,County,Unemployment_Rate,Year,State
June,Hamilton County,7.7,2020,NY
June,Chenango County,8.4,2020,NY
June,Yates County,8.5,2020,NY
June,Columbia County,8.8,2020,NY
June,Tompkins County,8.9,2020,NY
June,Delaware County,9.2,2020,NY
June,Lewis County,9.2,2020,NY
June,Wyoming County,9.2,2020,NY
June,Otsego County,9.3,2020,NY
June,Schoharie County,9.3,2020,NY
June,Livingston County,9.5,2020,NY
June,Genesee County,9.6,2020,NY
June,Washington County,9.8,2020,NY
June,Wayne County,9.8,2020,NY
June,Herkimer County,9.9,2020,NY
June,Rensselaer County,9.9,2020,NY
June,Ontario County,10.2,2020,NY
June,Saratoga County,10.2,2020,NY
June,Clinton County,10.3,2020,NY
June,Cortland County,10.3,2020,NY
June,Tioga County,10.3,2020,NY
June,Albany County,10.4,2020,NY
June,Essex County,10.5,2020,NY
June,Allegany County,10.6,2020,NY
June,Cayuga County,10.6,2020,NY
June,Madison County,10.6,2020,NY
June,St. Lawrence County,10.7,2020,NY
June,Oneida County,11,2020,NY
June,Orleans County,11,2020,NY
June,Seneca County,11,2020,NY
June,Franklin County,11.1,2020,NY
June,Schuyler County,11.1,2020,NY
June,Steuben County,11.1,2020,NY
June,Chautauqua County,11.2,2020,NY
June,Jefferson County,11.2,2020,NY
June,Putnam County,11.2,2020,NY
June,Broome County,11.3,2020,NY
June,Fulton County,11.3,2020,NY
June,Ulster County,11.3,2020,NY
June,Dutchess County,11.5,2020,NY
June,Greene County,11.5,2020,NY
June,Montgomery County,11.6,2020,NY
June,Warren County,11.6,2020,NY
June,Schenectady County,11.7,2020,NY
June,Oswego County,11.8,2020,NY
June,Chemung County,11.9,2020,NY
June,Monroe County,11.9,2020,NY
June,Onondaga County,12.1,2020,NY
June,Rockland County,12.1,2020,NY
June,Sullivan County,12.2,2020,NY
June,Westchester County,12.5,2020,NY
June,Orange County,12.7,2020,NY
June,Cattaraugus County,12.9,2020,NY
June,Suffolk County,12.9,2020,NY
June,Nassau County,13,2020,NY
June,Erie County,13.5,2020,NY
June,Niagara County,14.6,2020,NY
June,New York County,16,2020,NY
June,Richmond County,18.1,2020,NY
June,Kings County,20.5,2020,NY
June,Queens County,21.8,2020,NY
June,Bronx County,24.7,2020,NY
